id;kodeinstansi;tipetabel;notabel;judultabel;judultabelen;created_at;updated_at
96;038;038005;5;Banyaknya Penyandang Cacat Menurut Desa/Kelurahan dan Jenis Cacat di Kecamatan Liliriaja;Number of People with Disabilities by Villages/Urban Villages and Type of Disability in Liliriaja Subdistrict;;
97;038;038006;6;Banyaknya Penyandang Cacat Menurut Desa/Kelurahan dan Jenis Cacat di Kecamatan Ganra;Number of People with Disabilities by Villages/Urban Villages and Type of Disability in Ganra Subdistrict;;
98;038;038007;7;Banyaknya Penyandang Cacat Menurut Desa/Kelurahan dan Jenis Cacat di Kecamatan Citta;Number of People with Disabilities by Villages/Urban Villages and Type of Disability in Citta Subdistrict;;
99;038;038008;8;Banyaknya Penyandang Cacat Menurut Desa/Kelurahan dan Jenis Cacat di Kecamatan Lilirilau;Number of People with Disabilities by Villages/Urban Villages and Type of Disability in Lilirilau Subdistrict;;
100;038;038009;9;Banyaknya Penyandang Cacat Menurut Desa/Kelurahan dan Jenis Cacat di Kecamatan Donri-Donri;Number of People with Disabilities by Villages/Urban Villages and Type of Disability in Donri-Donri Subdistrict;;
101;038;038010;10;Banyaknya Penyandang Cacat Menurut Desa/Kelurahan dan Jenis Cacat di Kecamatan Marioriawa;Number of People with Disabilities by Villages/Urban Villages and Type of Disability in Marioriawa Subdistrict;;
102;038;038011;11;Banyaknya penerima bingkisan keluarga / ahli waris veteran;The number of family gift recipient/veteran heirs;;
103;038;038012;12;Banyaknya Kelompok Karang Taruna Menurut Kecamatan di Kabupaten Soppeng;The Number of youth grups according to the sub district in Soppeng Regency;;
104;038;038013;13;Banyaknya kelompok Usaha Bersama menurut kecamatan di kabupaten soppeng;The Number of joint Business Groups According to sub districts in Soppeng Regency;;
105;038;038014;14;Banyaknya Penerima Beras Sejahtera APBD Menurut  Kecamatan di Kabupaten Soppeng;Number of Prosperous Rice Recipients in APBD by Sub-Districts in Soppeng Regency;;
106;038;038015;15;Banyaknya Penyandang Kesejahteraan Sosial Menurut Kecamatan di Kabupaten Soppeng;Number of People with Welfare Disability by Subdistrict in Soppeng Regency;;
107;038;038016;16;Banyaknya Pekerja Sosial Menurut Kecamatan di Kabupaten Soppeng;Number of Social Worker by Subdistrict in Soppeng Regency;;
108;012;012001;1;Jumlah Angkutan Penumpang dan Barang di Kabupaten Soppeng;Number of Passenger and Goods Transportation in Soppeng Regency;;
109;012;012002;2;Banyaknya Kendaraan Dinas dan Pribadi Menurut Kecamatan dan Jenis Kendaraan di Kabupaten Soppeng;Number of Personal and Private Vehicle by Subdistrict and Type of Vehicle  in Soppeng Regency;;
110;012;012003;3;JUMLAH KENDARAAN BERMOTOR YANG TELAH DIREGISTRASI;NUMBER OF REGISTERED MOTOR VEHICLES;;
111;037;037001;1;Jumlah Pengusaha Tambang dan Luas Tambang Menurut Kecamatan dan Jenis Bahan Tambang di Kabupaten Soppeng;Number of Mining Entrepreneurs and Mining Area by District and Type of Mining Material in Soppeng Regency;;
112;037;037002;2;Panjang Jalan Negara, Provinsi dan Kabupaten Menurut Jenis Permukaan Jalan di Kabupaten Soppeng (km);Length of State, Province anf Regency Road by Type of Road Surface in Soppeng Regency (km);;
113;037;037003;3;Panjang Jalan Negara, Provinsi dan Kabupaten Menurut Kondisi Jalan di Kabupaten Soppeng (km);Length of State, Province and Regency Road by Road Condition in Soppeng Regency (km);;
114;036;036001;1;Banyaknya Tenaga Medis di RSUD Latemmamala Kabupaten Soppeng;The number of medical personnel in the Latemmamala Hospital; Soppeng Regency;;
115;036;036002;2;Banyaknya Pasien Rawat Jalan dan Rawat Inap Menurut Kelompok Pasien di RSUD La Temmamala Kabupaten Soppeng;Number of Outpatient and Inpatient by Patient Group in La Temmamala Hospital of Soppeng Regency;;
116;036;036003;3;Banyaknya Pasien Rawat Jalan dan Rawat Inap Menurut Jenis Penyakit di RSUD La Temmamala Kabupaten Soppeng;Number of Outpatient and Inpatient by Type of Disease in La Temmamala Hospital of Soppeng Regency;;
117;046;046001;1;Wilayah dan Topografi Desa/Kelurahan Menurut Desa/Kelurahan di Kecamatan Marioriawa;Area and Topography of Villages/Urban Villages by Villages/Urban Villages in Marioriawa Subdistrict;;
118;046;046002;2;Jarak ke Ibukota Kecamatan dan ke Ibukota Kabupaten Menurut Desa/Kelurahan di Kecamatan Marioriawa;Distance to Capital Subdistrict and Capital Regency by Villages/Urban Villages in Marioriawa Subdistrict;;
119;046;046003;3;Banyaknya Pegawai Instansi dan Kantor Pemerintah di Kecamatan Marioriawa;Number of Employee of Agency and Government Office  in Marioriawa Subdistrict;;
